step,loss,lr,batch_size
1,1.5004061460494995,5e-06,8
2,1.4690327644348145,1e-05,8
3,1.4827622175216675,1.5000000000000002e-05,8
4,1.3314517736434937,2e-05,8
5,1.3640365600585938,2.5e-05,8
6,1.4705119132995605,3.0000000000000004e-05,8
7,1.286969780921936,3.5e-05,8
8,1.2780174016952515,4e-05,8
9,1.4153236150741577,4.5e-05,8
10,1.439095377922058,5e-05,8
11,1.4099705219268799,5.5e-05,8
12,1.4614754915237427,6.000000000000001e-05,8
13,1.492302417755127,6.500000000000001e-05,8
14,1.3465299606323242,7e-05,8
15,1.433311104774475,7.500000000000001e-05,8
16,1.3526304960250854,8e-05,8
17,1.5198581218719482,8.5e-05,8
18,1.017367959022522,9e-05,8
19,1.2958073616027832,9.5e-05,8
20,1.5426177978515625,0.0001,8
21,1.4080421924591064,0.0001,8
22,1.6187615394592285,0.0001,8
23,1.2945176362991333,0.0001,8
24,1.4668735265731812,0.0001,8
25,1.1583316326141357,0.0001,8
26,1.2960798740386963,0.0001,8
27,1.496433973312378,0.0001,8
28,1.4362127780914307,0.0001,8
29,1.0702069997787476,0.0001,8
30,1.1785227060317993,0.0001,8
31,1.0875632762908936,0.0001,8
32,1.1169369220733643,0.0001,8
33,1.1553577184677124,0.0001,8
34,1.1230170726776123,0.0001,8
35,1.1933090686798096,0.0001,8
36,1.3052743673324585,0.0001,8
37,1.0482035875320435,0.0001,8
38,1.3055626153945923,0.0001,8
39,1.0433690547943115,0.0001,8
40,1.1405819654464722,0.0001,8
41,1.1758965253829956,0.0001,8
42,1.1916521787643433,0.0001,8
43,1.2226240634918213,0.0001,8
44,0.990693211555481,0.0001,8
45,1.128633975982666,0.0001,8
46,1.0120396614074707,0.0001,8
47,1.4366475343704224,0.0001,8
48,1.1794390678405762,0.0001,8
49,1.0850926637649536,0.0001,8
50,1.0131630897521973,0.0001,8
51,1.191148281097412,0.0001,8
52,1.2185605764389038,0.0001,8
53,1.1495234966278076,0.0001,8
54,0.8314788341522217,0.0001,8
55,1.176080346107483,0.0001,8
56,1.2472262382507324,0.0001,8
57,1.028665542602539,0.0001,8
58,0.9395347833633423,0.0001,8
59,0.9351513981819153,0.0001,8
60,1.248666763305664,0.0001,8
61,1.0822604894638062,0.0001,8
62,1.3562449216842651,0.0001,8
63,1.0891987085342407,0.0001,8
64,1.0742390155792236,0.0001,8
65,0.9189749360084534,0.0001,8
66,0.8848686814308167,0.0001,8
67,0.9032772779464722,0.0001,8
68,1.0796138048171997,0.0001,8
69,1.0198901891708374,0.0001,8
70,1.2271287441253662,0.0001,8
71,1.0631639957427979,0.0001,8
72,0.8410787582397461,0.0001,8
73,0.8427898287773132,0.0001,8
74,1.057763695716858,0.0001,8
75,1.3014694452285767,0.0001,8
76,0.9151636958122253,0.0001,8
77,1.1048012971878052,0.0001,8
78,1.0185105800628662,0.0001,8
79,1.0375699996948242,0.0001,8
80,1.0427603721618652,0.0001,8
81,0.9904393553733826,0.0001,8
82,0.866031289100647,0.0001,8
83,1.1412274837493896,0.0001,8
84,0.9295178055763245,0.0001,8
85,0.7966199517250061,0.0001,8
86,0.9991776943206787,0.0001,8
87,1.1134402751922607,0.0001,8
88,0.8890610933303833,0.0001,8
89,0.9313842058181763,0.0001,8
90,0.9484334588050842,0.0001,8
91,1.0596376657485962,0.0001,8
92,1.0370581150054932,0.0001,8
93,0.9421448707580566,0.0001,8
94,0.8891401886940002,0.0001,8
95,0.9013791680335999,0.0001,8
96,0.9025410413742065,0.0001,8
97,0.9781569242477417,0.0001,8
98,0.780002236366272,0.0001,8
99,0.823980987071991,0.0001,8
100,0.7817894816398621,0.0001,8
101,0.7780084013938904,0.0001,8
102,1.034623622894287,0.0001,8
103,0.6481947898864746,0.0001,8
